"","Reporter.Countries","Partner.Countries"
"496","Barbados","United States Virgin Islands"
"497","Barbados","Unspecified Area"
"498","Barbados","USSR"
"499","Belgium-Luxembourg","Afghanistan"
"500","Belgium-Luxembourg","Algeria"
"501","Belgium-Luxembourg","American Samoa"
"502","Belgium-Luxembourg","Andorra"
"503","Belgium-Luxembourg","Angola"
"504","Belgium-Luxembourg","Antigua and Barbuda"
"505","Belgium-Luxembourg","Argentina"
"506","Belgium-Luxembourg","Australia"
"507","Belgium-Luxembourg","Austria"
"508","Belgium-Luxembourg","Bahamas"
"509","Belgium-Luxembourg","Bahrain"
"510","Belgium-Luxembourg","Bangladesh"
"511","Belgium-Luxembourg","Barbados"
"512","Belgium-Luxembourg","Belgium-Luxembourg"
"513","Belgium-Luxembourg","Belize"
"514","Belgium-Luxembourg","Benin"
"515","Belgium-Luxembourg","Bermuda"
"516","Belgium-Luxembourg","Bolivia (Plurinational State of)"
"517","Belgium-Luxembourg","Botswana"
"518","Belgium-Luxembourg","Brazil"
"519","Belgium-Luxembourg","British Virgin Islands"
"520","Belgium-Luxembourg","Brunei Darussalam"
"521","Belgium-Luxembourg","Bulgaria"
"522","Belgium-Luxembourg","Burkina Faso"
"523","Belgium-Luxembourg","Burundi"
"524","Belgium-Luxembourg","Cabo Verde"
"525","Belgium-Luxembourg","Cameroon"
"526","Belgium-Luxembourg","Canada"
"527","Belgium-Luxembourg","Cayman Islands"
"528","Belgium-Luxembourg","Central African Republic"
"529","Belgium-Luxembourg","Chad"
"530","Belgium-Luxembourg","Chile"
"531","Belgium-Luxembourg","China, Hong Kong SAR"
"532","Belgium-Luxembourg","China, Macao SAR"
"533","Belgium-Luxembourg","China, mainland"
"534","Belgium-Luxembourg","China, Taiwan Province of"
"535","Belgium-Luxembourg","Colombia"
"536","Belgium-Luxembourg","Comoros"
"537","Belgium-Luxembourg","Congo"
"538","Belgium-Luxembourg","Cook Islands"
"539","Belgium-Luxembourg","Costa Rica"
"540","Belgium-Luxembourg","Côte d'Ivoire"
"541","Belgium-Luxembourg","Cuba"
"542","Belgium-Luxembourg","Cyprus"
"543","Belgium-Luxembourg","Czechoslovakia"
"544","Belgium-Luxembourg","Democratic People's Republic of Korea"
"545","Belgium-Luxembourg","Democratic Republic of the Congo"
"546","Belgium-Luxembourg","Denmark"
"547","Belgium-Luxembourg","Djibouti"
"548","Belgium-Luxembourg","Dominica"
"549","Belgium-Luxembourg","Dominican Republic"
"550","Belgium-Luxembourg","Ecuador"
"551","Belgium-Luxembourg","Egypt"
"552","Belgium-Luxembourg","El Salvador"
"553","Belgium-Luxembourg","Equatorial Guinea"
"554","Belgium-Luxembourg","Ethiopia PDR"
"555","Belgium-Luxembourg","Faroe Islands"
"556","Belgium-Luxembourg","Fiji"
"557","Belgium-Luxembourg","Finland"
"558","Belgium-Luxembourg","France"
"559","Belgium-Luxembourg","French Guiana"
"560","Belgium-Luxembourg","French Polynesia"
"561","Belgium-Luxembourg","Gabon"
"562","Belgium-Luxembourg","Gambia"
"563","Belgium-Luxembourg","Ghana"
"564","Belgium-Luxembourg","Gibraltar"
"565","Belgium-Luxembourg","Greece"
"566","Belgium-Luxembourg","Grenada"
"567","Belgium-Luxembourg","Guadeloupe"
"568","Belgium-Luxembourg","Guam"
"569","Belgium-Luxembourg","Guatemala"
"570","Belgium-Luxembourg","Guinea"
"571","Belgium-Luxembourg","Guinea-Bissau"
"572","Belgium-Luxembourg","Guyana"
"573","Belgium-Luxembourg","Haiti"
"574","Belgium-Luxembourg","Holy See"
"575","Belgium-Luxembourg","Honduras"
"576","Belgium-Luxembourg","Hungary"
"577","Belgium-Luxembourg","Iceland"
"578","Belgium-Luxembourg","India"
"579","Belgium-Luxembourg","Indonesia"
"580","Belgium-Luxembourg","Iran (Islamic Republic of)"
"581","Belgium-Luxembourg","Iraq"
"582","Belgium-Luxembourg","Ireland"
"583","Belgium-Luxembourg","Israel"
"584","Belgium-Luxembourg","Italy"
"585","Belgium-Luxembourg","Jamaica"
"586","Belgium-Luxembourg","Japan"
"587","Belgium-Luxembourg","Jordan"
"588","Belgium-Luxembourg","Kenya"
"589","Belgium-Luxembourg","Kiribati"
"590","Belgium-Luxembourg","Kuwait"
"591","Belgium-Luxembourg","Lebanon"
"592","Belgium-Luxembourg","Liberia"
"593","Belgium-Luxembourg","Libya"
"594","Belgium-Luxembourg","Madagascar"
"595","Belgium-Luxembourg","Malawi"
"596","Belgium-Luxembourg","Malaysia"
"597","Belgium-Luxembourg","Maldives"
"598","Belgium-Luxembourg","Mali"
"599","Belgium-Luxembourg","Malta"
"600","Belgium-Luxembourg","Martinique"
"601","Belgium-Luxembourg","Mauritania"
"602","Belgium-Luxembourg","Mauritius"
"603","Belgium-Luxembourg","Mexico"
"604","Belgium-Luxembourg","Mongolia"
"605","Belgium-Luxembourg","Morocco"
"606","Belgium-Luxembourg","Mozambique"
"607","Belgium-Luxembourg","Myanmar"
"608","Belgium-Luxembourg","Nauru"
"609","Belgium-Luxembourg","Nepal"
"610","Belgium-Luxembourg","Netherlands"
"611","Belgium-Luxembourg","Netherlands Antilles (former)"
"612","Belgium-Luxembourg","New Caledonia"
"613","Belgium-Luxembourg","New Zealand"
"614","Belgium-Luxembourg","Nicaragua"
"615","Belgium-Luxembourg","Niger"
"616","Belgium-Luxembourg","Nigeria"
"617","Belgium-Luxembourg","Niue"
"618","Belgium-Luxembourg","Norfolk Island"
"619","Belgium-Luxembourg","Norway"
"620","Belgium-Luxembourg","Oman"
"621","Belgium-Luxembourg","Pacific Islands Trust Territory"
"622","Belgium-Luxembourg","Pakistan"
"623","Belgium-Luxembourg","Panama"
"624","Belgium-Luxembourg","Papua New Guinea"
"625","Belgium-Luxembourg","Paraguay"
"626","Belgium-Luxembourg","Peru"
"627","Belgium-Luxembourg","Philippines"
"628","Belgium-Luxembourg","Pitcairn Islands"
"629","Belgium-Luxembourg","Poland"
"630","Belgium-Luxembourg","Portugal"
"631","Belgium-Luxembourg","Qatar"
"632","Belgium-Luxembourg","Republic of Korea"
"633","Belgium-Luxembourg","Réunion"
"634","Belgium-Luxembourg","Romania"
"635","Belgium-Luxembourg","Rwanda"
"636","Belgium-Luxembourg","Saint Kitts and Nevis"
"637","Belgium-Luxembourg","Saint Lucia"
"638","Belgium-Luxembourg","Saint Pierre and Miquelon"
"639","Belgium-Luxembourg","Saint Vincent and the Grenadines"
"640","Belgium-Luxembourg","Samoa"
"641","Belgium-Luxembourg","Sao Tome and Principe"
"642","Belgium-Luxembourg","Saudi Arabia"
"643","Belgium-Luxembourg","Senegal"
"644","Belgium-Luxembourg","Seychelles"
"645","Belgium-Luxembourg","Sierra Leone"
"646","Belgium-Luxembourg","Singapore"
"647","Belgium-Luxembourg","Solomon Islands"
"648","Belgium-Luxembourg","Somalia"
"649","Belgium-Luxembourg","South Africa"
"650","Belgium-Luxembourg","Spain"
"651","Belgium-Luxembourg","Sri Lanka"
"652","Belgium-Luxembourg","Sudan (former)"
"653","Belgium-Luxembourg","Suriname"
"654","Belgium-Luxembourg","Sweden"
"655","Belgium-Luxembourg","Switzerland"
"656","Belgium-Luxembourg","Syrian Arab Republic"
"657","Belgium-Luxembourg","Thailand"
"658","Belgium-Luxembourg","Togo"
"659","Belgium-Luxembourg","Tonga"
"660","Belgium-Luxembourg","Trinidad and Tobago"
"661","Belgium-Luxembourg","Tunisia"
"662","Belgium-Luxembourg","Turkey"
"663","Belgium-Luxembourg","Turks and Caicos Islands"
"664","Belgium-Luxembourg","Tuvalu"
"665","Belgium-Luxembourg","Uganda"
"666","Belgium-Luxembourg","United Arab Emirates"
"667","Belgium-Luxembourg","United Kingdom"
"668","Belgium-Luxembourg","United Republic of Tanzania"
"669","Belgium-Luxembourg","United States of America"
"670","Belgium-Luxembourg","United States Virgin Islands"
"671","Belgium-Luxembourg","Unspecified Area"
"672","Belgium-Luxembourg","Uruguay"
"673","Belgium-Luxembourg","USSR"
"674","Belgium-Luxembourg","Vanuatu"
"675","Belgium-Luxembourg","Venezuela (Bolivarian Republic of)"
"676","Belgium-Luxembourg","Viet Nam"
"677","Belgium-Luxembourg","Wallis and Futuna Islands"
"678","Belgium-Luxembourg","Yugoslav SFR"
"679","Belgium-Luxembourg","Zambia"
"680","Belgium-Luxembourg","Zimbabwe"
"681","Belize","Bahamas"
"682","Belize","Barbados"
"683","Belize","Canada"
"684","Belize","Denmark"
"685","Belize","France"
"686","Belize","Guatemala"
"687","Belize","Honduras"
"688","Belize","Jamaica"
"689","Belize","Martinique"
"690","Belize","Mexico"
"691","Belize","Netherlands"
"692","Belize","Panama"
"693","Belize","Portugal"
"694","Belize","Spain"
"695","Belize","Trinidad and Tobago"
"696","Belize","United Kingdom"
"697","Belize","United States of America"
"698","Belize","USSR"
"699","Brazil","Afghanistan"
"700","Brazil","Algeria"
"701","Brazil","Angola"
"702","Brazil","Antigua and Barbuda"
"703","Brazil","Argentina"
"704","Brazil","Australia"
"705","Brazil","Austria"
"706","Brazil","Bahamas"
"707","Brazil","Bahrain"
"708","Brazil","Bangladesh"
"709","Brazil","Barbados"
"710","Brazil","Belgium-Luxembourg"
"711","Brazil","Benin"
"712","Brazil","Bermuda"
"713","Brazil","Bolivia (Plurinational State of)"
"714","Brazil","British Virgin Islands"
"715","Brazil","Bulgaria"
"716","Brazil","Cabo Verde"
"717","Brazil","Canada"
"718","Brazil","Cayman Islands"
"719","Brazil","Chile"
"720","Brazil","China, Hong Kong SAR"
"721","Brazil","China, Macao SAR"
"722","Brazil","China, mainland"
"723","Brazil","China, Taiwan Province of"
"724","Brazil","Colombia"
"725","Brazil","Comoros"
"726","Brazil","Congo"
"727","Brazil","Costa Rica"
"728","Brazil","Côte d'Ivoire"
"729","Brazil","Cyprus"
"730","Brazil","Czechoslovakia"
"731","Brazil","Democratic Republic of the Congo"
"732","Brazil","Denmark"
"733","Brazil","Dominica"
"734","Brazil","Dominican Republic"
"735","Brazil","Ecuador"
"736","Brazil","Egypt"
"737","Brazil","Fiji"
"738","Brazil","Finland"
"739","Brazil","France"
"740","Brazil","French Guiana"
"741","Brazil","Gabon"
"742","Brazil","Ghana"
"743","Brazil","Gibraltar"
"744","Brazil","Greece"
"745","Brazil","Grenada"
"746","Brazil","Guatemala"
"747","Brazil","Guinea"
"748","Brazil","Guinea-Bissau"
"749","Brazil","Guyana"
"750","Brazil","Haiti"
"751","Brazil","Honduras"
"752","Brazil","Hungary"
"753","Brazil","Iceland"
"754","Brazil","India"
"755","Brazil","Indonesia"
"756","Brazil","Iran (Islamic Republic of)"
"757","Brazil","Iraq"
"758","Brazil","Ireland"
"759","Brazil","Israel"
"760","Brazil","Italy"
"761","Brazil","Jamaica"
"762","Brazil","Japan"
"763","Brazil","Jordan"
"764","Brazil","Kenya"
"765","Brazil","Kuwait"
"766","Brazil","Lebanon"
"767","Brazil","Liberia"
"768","Brazil","Libya"
"769","Brazil","Madagascar"
"770","Brazil","Malaysia"
"771","Brazil","Malta"
"772","Brazil","Martinique"
"773","Brazil","Mauritania"
"774","Brazil","Mauritius"
"775","Brazil","Mexico"
"776","Brazil","Montserrat"
"777","Brazil","Morocco"
"778","Brazil","Mozambique"
"779","Brazil","Nepal"
"780","Brazil","Netherlands"
"781","Brazil","Netherlands Antilles (former)"
"782","Brazil","New Zealand"
"783","Brazil","Nicaragua"
"784","Brazil","Niger"
"785","Brazil","Nigeria"
"786","Brazil","Norway"
"787","Brazil","Oman"
"788","Brazil","Pakistan"
"789","Brazil","Panama"
"790","Brazil","Paraguay"
"791","Brazil","Peru"
"792","Brazil","Philippines"
"793","Brazil","Poland"
"794","Brazil","Portugal"
"795","Brazil","Qatar"
"796","Brazil","Republic of Korea"
"797","Brazil","Réunion"
"798","Brazil","Romania"
"799","Brazil","Saint Kitts and Nevis"
"800","Brazil","Saint Lucia"
"801","Brazil","Saint Vincent and the Grenadines"
"802","Brazil","Saudi Arabia"
"803","Brazil","Senegal"
"804","Brazil","Seychelles"
"805","Brazil","Sierra Leone"
"806","Brazil","Singapore"
"807","Brazil","Somalia"
"808","Brazil","South Africa"
"809","Brazil","Spain"
"810","Brazil","Sri Lanka"
"811","Brazil","Suriname"
"812","Brazil","Sweden"
"813","Brazil","Switzerland"
"814","Brazil","Syrian Arab Republic"
"815","Brazil","Thailand"
"816","Brazil","Togo"
"817","Brazil","Trinidad and Tobago"
"818","Brazil","Tunisia"
"819","Brazil","Turkey"
"820","Brazil","Turks and Caicos Islands"
"821","Brazil","Tuvalu"
"822","Brazil","United Arab Emirates"
"823","Brazil","United Kingdom"
"824","Brazil","United States of America"
"825","Brazil","United States Virgin Islands"
"826","Brazil","Unspecified Area"
"827","Brazil","Uruguay"
"828","Brazil","USSR"
"829","Brazil","Venezuela (Bolivarian Republic of)"
"830","Brazil","Wallis and Futuna Islands"
"831","Brazil","Yugoslav SFR"
